209715416,10.821106e-3,5.799697e-3,6.842269e-3,7.44122e-3,7.499354e-3,9.612176e-3
262144216,2.339528e-3,2.467133e-3,4.285587e-3,4.378755e-3,4.886774e-3,5.417835e-3
314573017,1.492369e-3,1.556187e-3,1.594695e-3,1.623764e-3,2.244113e-3,3.542467e-3
367001817,1.454782e-3,1.455568e-3,1.476637e-3,1.588891e-3,1.90566e-3,4.309776e-3
419430617,1.206634e-3,1.386734e-3,1.47961e-3,1.495242e-3,1.543448e-3,1.651542e-3
471859417,1.345917e-3,1.847687e-3,1.884085e-3,2.458771e-3,2.733239e-3,2.90139e-3
524288217,1.254182e-3,1.344819e-3,1.362395e-3,1.618187e-3,1.696251e-3,1.698414e-3
576717017,12.188805e-3,2.146575e-3,2.19402e-3,2.429883e-3,2.522419e-3,3.217065e-3
629145817,1.507465e-3,1.532217e-3,1.767194e-3,1.80325e-3,1.887199e-3,2.985433e-3
734003417,2.587919e-3,4.920174e-3,5.093882e-3,5.464462e-3,5.69215e-3,5.729682e-3
786432217,1.773554e-3,2.457228e-3,4.146229e-3,4.621164e-3,5.597403e-3,6.745997e-3
