209715439,979.89854e-3,960.043802e-3,975.02249e-3,978.483883e-3,979.306301e-3,1.002574659,1.125999952
262144239,1.27471506,1.236596651,1.229580359,1.211641229,1.203344894,1.224473518,1.281006593
314573040,1.651316005,1.524627792,1.414270364,1.383154631,1.416914978,1.406389355,1.540570766
367001840,1.839862519,1.799750338,1.67010513,1.64562647,1.672557346,1.655303212,1.743790266
419430640,1.94569292,1.965263581,1.97185433,1.920792886,1.925803101,1.842599886,2.014466084
471859440,2.196284432,2.419039808,2.146826617,2.237292955,2.239182666,2.055207013,2.290638281
524288240,2.44100517,2.612014468,2.414814862,2.39500408,2.431083946,2.291655037,2.5592168
576717040,2.5848028,2.842213635,2.592529001,2.682518707,2.618595792,2.455297408,2.941190135
629145840,2.837960816,3.220304903,2.868468191,2.858208599,2.925878033,2.818409217,3.157498073
681574640,3.183758363,3.37175926,3.077655662,3.126393622,3.146409223,3.085444934,3.301185726
734003440,3.406492083,3.513535194,3.313474305,3.368752898,3.383966191,3.323177903,3.579544155
786432240,3.6875124,4.0534581,3.581129339,3.588558608,3.632513616,3.61317402,3.783202902
