209715343,10.57669459,12.07517655,12.369936914,12.762724,13.024765778,14.614469944,15.139607062
262144143,15.012145885,15.252586703,15.593097236,16.127888752,16.133392381,16.360472975,21.569558129
314572944,16.989640784,18.149906003,18.426403246,18.891743617,19.163720985,19.347012501,25.926680707
367001744,19.885180302,21.462498361,21.508841709,21.871294391,22.709547266,22.719560169,30.321779262
419430544,22.955133529,24.237959814,24.779999901,25.171961942,25.874430428,25.930901803,33.9345201
471859344,25.057532549,25.421613092,27.228543377,27.760448455,28.578479748,28.721036598,36.638702147
524288144,30.385153657,30.634848365,30.738584054,31.302920153,31.886323923,32.436905751,39.44646219
576716944,31.418867392,33.47814458,34.457327764,34.969990383,35.298296705,35.565456642,48.16401581
629145744,34.626120354,36.805324448,37.243773511,37.834546959,38.762916541,38.771684389,48.772456291
681574544,35.303976024,38.970793394,41.112778962,41.878921823,43.435003893,48.518723993,54.6916537
734003344,37.63200408,42.670472183,43.227024494,43.961760804,44.697496113,49.809471528,58.952610312
786432144,40.885494085,45.41570071,45.856093016,47.455684865,48.025097738,48.777997869,61.507585203
